epoch,logcount_predictions_loss,logits_profile_predictions_loss,loss,val_logcount_predictions_loss,val_logits_profile_predictions_loss,val_loss
0,0.1736288219690323,338.6600341796875,341.2821960449219,0.16013145446777344,337.44049072265625,339.8583984375
1,0.14235174655914307,334.7111511230469,336.8607482910156,0.13331077992916107,336.36248779296875,338.3755187988281
2,0.13910770416259766,333.9682312011719,336.0689697265625,0.12395230680704117,336.0075378417969,337.8792419433594
3,0.1374983787536621,333.53118896484375,335.6075744628906,0.12588241696357727,335.6357727050781,337.5365295410156
4,0.13563893735408783,333.2457275390625,335.2929382324219,0.12210401892662048,335.5859375,337.4299011230469
5,0.13475467264652252,333.0356140136719,335.0703430175781,0.1309022456407547,335.27923583984375,337.2561340332031
6,0.1339826136827469,332.8633728027344,334.88690185546875,0.12268802523612976,335.1494140625,337.00201416015625
7,0.13275697827339172,332.74822998046875,334.75323486328125,0.12067261338233948,335.1188659667969,336.9410705566406
8,0.1327325999736786,332.6426086425781,334.64691162109375,0.12003905326128006,335.05908203125,336.8718566894531
9,0.131593257188797,332.55340576171875,334.5404052734375,0.11917674541473389,335.0640869140625,336.8638000488281
10,0.1311725378036499,332.4732666015625,334.4541015625,0.11939969658851624,334.91595458984375,336.71875
11,0.13135984539985657,332.40185546875,334.38531494140625,0.1193530485033989,334.9027099609375,336.7048645019531
12,0.13099852204322815,332.35150146484375,334.32952880859375,0.11936494708061218,334.92156982421875,336.7239685058594
13,0.1295909583568573,332.30206298828125,334.2595520019531,0.11983872205018997,334.7867736816406,336.5966491699219
14,0.12989363074302673,332.26190185546875,334.2231750488281,0.1231844425201416,334.8363037109375,336.69647216796875
15,0.12941615283489227,332.211669921875,334.16522216796875,0.12185683846473694,334.8215026855469,336.66162109375
16,0.12929029762744904,332.1771545410156,334.1296081542969,0.11967338621616364,334.778564453125,336.58587646484375
17,0.12843358516693115,332.1449279785156,334.084228515625,0.12248048931360245,334.7012634277344,336.5504150390625
18,0.1286613494157791,332.1221618652344,334.0649719238281,0.11887601017951965,334.791748046875,336.58660888671875
19,0.12781117856502533,332.0872497558594,334.0178527832031,0.11920074373483658,334.7496337890625,336.5494384765625
20,0.12772513926029205,332.06671142578125,333.9954528808594,0.11919292062520981,334.744140625,336.5438537597656
21,0.1273009330034256,332.0458068847656,333.96795654296875,0.11803456395864487,334.78936767578125,336.57177734375
22,0.12723296880722046,332.0283203125,333.94915771484375,0.11861784011125565,334.64398193359375,336.4349670410156
23,0.12645208835601807,332.0013732910156,333.9110412597656,0.12020708620548248,334.6363220214844,336.451416015625
24,0.12648792564868927,331.99322509765625,333.90240478515625,0.11927477270364761,334.70086669921875,336.50213623046875
25,0.12626124918460846,331.966064453125,333.8725891113281,0.11908447742462158,334.6826171875,336.4806213378906
26,0.12613268196582794,331.9592590332031,333.8642272949219,0.11933541297912598,334.677734375,336.47967529296875
27,0.1253560334444046,331.94061279296875,333.8334045410156,0.11799101531505585,334.6820068359375,336.4637451171875
