,CBP,Y
2003,1.8405838,-0.1570685791555695
605,1.6169372,0.0234642336630384
1506,1.0867388,-0.5923439181276207
991,1.0378351,0.5920103644410937
3014,1.010072,0.2225712857299866
2064,0.9502109,0.577779801723308
2990,0.90614545,-0.9497214139327091
164,0.8752168,-0.4774720003117056
3083,0.81337863,0.0185606620859574
3970,0.7605041,1.100879147644123
2953,0.7534253,-1.3991521764782977
608,0.7512195,1.0013779309772353
4092,0.73709226,0.6772262114326999
1810,0.733731,0.158513631355914
2252,0.73372924,-1.210483734032768
2789,0.72768867,-0.9250500649146924
1783,0.7260324,0.5822633495275822
3600,0.712905,0.0899698249590485
3077,0.6835942,0.4587011992587176
1269,0.6835935,1.721141271389393
944,0.6658758,0.9178933260591592
3228,0.6382095,-0.049477258480295
3291,0.6236834,0.7451758195491471
3734,0.6222504,0.923059683617861
1624,0.6222504,0.2369623007880304
4086,0.59566337,-0.0130006196843601
3383,0.5907247,0.6217830344722901
2642,0.5873635,-0.1372566945833305
2666,0.55223954,0.1245129025609873
3683,0.550177,0.4288260112651189
2540,0.5381272,0.5780356815513925
429,0.5093169,0.1624292588079657
3847,0.50573266,-2.888677890452892
548,0.4942086,0.6086179725509199
2,0.4838962,-1.5547684030549456
1557,0.47126067,0.0715311371000869
502,0.46960694,-1.7958163091108488
3829,0.46001998,-0.0440215841185973
3335,0.45997587,0.2055576085874834
840,0.45906696,-0.4334575437178455
2372,0.45826578,0.0
2284,0.45675534,-0.1555365383325622
3639,0.45409152,1.316252841501802
1164,0.43222022,-0.8511550127419487
2730,0.43210384,0.1992563620597741
539,0.43081495,-0.9378107141889804
2261,0.429507,0.4667415993472663
2784,0.42782214,0.2846333296915201
566,0.4190135,0.4102241818949532
3488,0.41901338,-0.4513045704634899
3613,0.41805372,-0.1611402058255689
1133,0.41385385,4.196465774886773
1524,0.40959486,0.7911880539253328
2734,0.40493548,-0.8602141872101782
3421,0.39945447,-0.6819368859106009
1707,0.39541203,-0.2848898307764779
4079,0.391499,-1.7380330405607292
422,0.38531634,0.3005267194792673
1855,0.38037595,-0.4773546405281538
4107,0.37807268,0.8662100274835859
1192,0.37797844,0.4449148291289634
2359,0.37748128,0.0183232953400054
3410,0.36993554,0.4646769853825614
710,0.35451993,0.3521369888622825
3176,0.35345095,-0.2803875124124654
1395,0.34818217,-0.3745542466762501
1338,0.34655175,1.5798681990181114
1132,0.34306479,0.268052324962912
4148,0.34257388,-0.6425481965092312
2285,0.34079507,0.4756605396507598
3883,0.33999595,0.2132980974577013
1747,0.3380715,-0.1935821361309404
4199,0.3373584,0.5298839890669587
251,0.33630103,0.6760541955982291
4007,0.33609805,-0.1610454700937542
883,0.3323681,0.1235642837015366
973,0.33171982,-2.0815338331484825
1746,0.3312364,0.1123662453130523
1569,0.33103037,0.1325253630546505
2837,0.33102927,-0.6034709703193732
1040,0.33059964,-0.0593110784262905
1361,0.32845402,-0.1720768726310662
1442,0.3280673,0.3618392933500381
1262,0.32662576,0.4028896326945512
3403,0.32627654,0.5407015684725132
2545,0.32611743,0.9785400265575152
1378,0.3260612,-1.153842606168426
2482,0.3259757,0.5339296791087135
2860,0.32032764,0.273258865189098
3691,0.32022145,0.59001184787417
2319,0.3171973,0.4706294091142723
2463,0.31714427,-0.7434771322170881
2247,0.3166442,-0.5277074063343383
2135,0.3140589,-0.5320107268441543
2555,0.3129926,-2.3979670418394274
1336,0.31280804,-0.6593825196670617
3536,0.31280804,-0.5299509750133294
2891,0.30522707,3.1083004665566
2165,0.3044296,0.3991572701529048
4196,0.30369812,1.0630545206738475
3770,0.30337957,0.0242689774752572
2661,0.30218777,-0.7466700078340256
3528,0.3011801,-2.3882705897160585
3875,0.2995117,-0.0024735574629511
2809,0.29927427,-0.7395552239265825
1170,0.29621887,0.6384605498896618
675,0.2923625,0.1022129114325305
3054,0.29177493,1.1079811387287466
2993,0.29081577,0.7994305257497962
3821,0.29055876,0.0251079165686155
403,0.28963128,-0.6475886135088027
3326,0.28700256,0.655984488070144
1975,0.28570133,0.8209501846219665
2189,0.283094,0.7765030217318201
3901,0.28309387,-0.8147991652369205
762,0.2825216,0.5564211681677396
4169,0.28205875,0.4936485900403642
666,0.28205732,0.0541470247889258
134,0.28160763,-0.5491422031587607
3012,0.28099543,0.215512667661758
1254,0.27973214,0.8116015066855582
763,0.2762873,0.4025931809556126
286,0.27585384,-0.1645538084813252
1849,0.27283946,-0.0556599014162479
3708,0.27262765,-0.7168028090657598
155,0.27239913,-0.9097168346175566
325,0.27114767,-0.3295692992105395
3906,0.27045575,1.242915290000362
4068,0.27018067,1.3984189813405097
3578,0.2699148,0.2267677266318506
3913,0.26715773,0.4174573151054169
3408,0.26654136,3.680280762543824
70,0.26625183,0.817274635132164
1013,0.26510137,0.4107831074290407
4149,0.26272944,-0.7114607675126585
812,0.26256818,0.3292694882155344
1418,0.26217386,2.028496271539712
1153,0.26069662,-0.3541107817717203
1858,0.25999418,-1.390924924727225
1786,0.25693497,1.0528964008592914
4084,0.25613683,0.3469159911307505
3013,0.25340706,0.0524555987843224
615,0.25120473,0.2534810624849049
