,CBP,Y
2003,[0.7923026],-0.1570685791555695
605,[0.5298023],0.0234642336630384
2064,[0.42409992],0.577779801723308
3014,[0.38613796],0.2225712857299866
991,[0.38442087],0.5920103644410937
4092,[0.32870626],0.6772262114326999
2642,[0.31912994],-0.1372566945833305
608,[0.31842756],1.0013779309772353
164,[0.30916786],-0.4774720003117056
1269,[0.28488684],1.721141271389393
3077,[0.28488684],0.4587011992587176
2990,[0.2841282],-0.9497214139327091
502,[0.24471807],-1.7958163091108488
3083,[0.24028444],0.0185606620859574
3600,[0.23212671],0.0899698249590485
2252,[0.23046732],-1.210483734032768
1810,[0.23046732],0.158513631355914
3383,[0.22927618],0.6217830344722901
3228,[0.22095966],-0.049477258480295
3291,[0.21454144],0.7451758195491471
944,[0.21411943],0.9178933260591592
2284,[0.21044111],-0.1555365383325622
2789,[0.20796919],-0.9250500649146924
1783,[0.20203114],0.5822633495275822
2837,[0.18935394],-0.6034709703193732
1569,[0.18935394],0.1325253630546505
2359,[0.18130398],0.0183232953400054
2784,[0.17660904],0.2846333296915201
1254,[0.17507792],0.8116015066855582
3421,[0.17106676],-0.6819368859106009
2540,[0.16981888],0.5780356815513925
429,[0.16798449],0.1624292588079657
2285,[0.16532993],0.4756605396507598
3847,[0.1637454],-2.888677890452892
1164,[0.16013908],-0.8511550127419487
2993,[0.15940762],0.7994305257497962
3734,[0.15920258],0.923059683617861
1624,[0.15920258],0.2369623007880304
3829,[0.15695333],-0.0440215841185973
1524,[0.15503502],0.7911880539253328
2860,[0.15347672],0.273258865189098
1786,[0.15156841],1.0528964008592914
2730,[0.14801168],0.1992563620597741
4079,[0.14537954],-1.7380330405607292
2135,[0.1415186],-0.5320107268441543
539,[0.14020729],-0.9378107141889804
763,[0.1364479],0.4025931809556126
3970,[0.13593006],1.100879147644123
2545,[0.13525105],0.9785400265575152
1378,[0.13476896],-1.153842606168426
3335,[0.13467836],0.2055576085874834
3883,[0.13459873],0.2132980974577013
