epoch,logcount_predictions_loss,logits_profile_predictions_loss,loss,val_logcount_predictions_loss,val_logits_profile_predictions_loss,val_loss
0,3.1181623935699463,1945.6632080078125,2575.5302734375,1.1409050226211548,1793.742431640625,2024.2054443359375
1,0.9386855363845825,1718.6915283203125,1908.3040771484375,0.9302815198898315,1715.5001220703125,1903.4178466796875
2,0.8731107711791992,1632.876953125,1809.2430419921875,0.9203474521636963,1684.8330078125,1870.743408203125
3,0.8197488188743591,1589.718994140625,1755.3076171875,0.8797129988670349,1658.791748046875,1836.493896484375
4,0.7747442126274109,1562.8624267578125,1719.35888671875,0.8696190118789673,1652.5482177734375,1828.2120361328125
5,0.7367002367973328,1538.2203369140625,1687.0369873046875,0.8628652095794678,1651.1959228515625,1825.49462890625
6,0.6996971368789673,1522.5745849609375,1663.9127197265625,0.8306469321250916,1648.4423828125,1816.234130859375
7,0.6587191820144653,1508.1092529296875,1641.16943359375,0.8348134756088257,1658.9755859375,1827.60693359375
8,0.625169575214386,1500.489990234375,1626.7777099609375,0.8257032632827759,1654.44287109375,1821.23388671875
9,0.5911296010017395,1494.3861083984375,1613.7908935546875,0.8289768695831299,1663.31005859375,1830.76318359375
10,0.5667601227760315,1488.6864013671875,1603.17431640625,0.8859686851501465,1649.408935546875,1828.37451171875
11,0.5383070111274719,1481.2315673828125,1589.9708251953125,0.8682820200920105,1658.8719482421875,1834.26513671875
