epoch,logcount_predictions_loss,logits_profile_predictions_loss,loss,val_logcount_predictions_loss,val_logits_profile_predictions_loss,val_loss
0,2.2695672512054443,1040.9410400390625,1252.6934814453125,0.9900562167167664,993.3153076171875,1085.68701171875
1,0.9752127528190613,946.9388427734375,1037.9285888671875,0.936442494392395,963.8011474609375,1051.171630859375
2,0.9030373096466064,914.189697265625,998.4406127929688,0.9359176158905029,942.9003295898438,1030.2218017578125
3,0.8477946519851685,895.8170166015625,974.9169311523438,1.1177520751953125,946.6363525390625,1050.922607421875
4,0.8086426854133606,881.8604125976562,957.3082885742188,0.9734756350517273,934.1787719726562,1025.00390625
5,0.763372004032135,873.3856201171875,944.6085205078125,0.8483585715293884,931.8670654296875,1011.0186157226562
6,0.7232757806777954,866.0611572265625,933.5433349609375,0.8660674095153809,933.1233520507812,1013.9275512695312
7,0.6815885305404663,861.6273803710938,925.2195434570312,0.8567037582397461,934.3729248046875,1014.3029174804688
8,0.6401665210723877,858.1825561523438,917.9113159179688,1.0143954753875732,936.658203125,1031.30126953125
9,0.6086258292198181,855.147216796875,911.9332275390625,0.8726281523704529,937.3768920898438,1018.7931518554688
10,0.5762186646461487,851.9081420898438,905.6685791015625,0.8934385180473328,939.371826171875,1022.7291870117188
