,CBP,Y
8867,2.7507622,0.553997416
13595,2.1157184,-0.125130915
2238,1.8405838,0.8032101
24220,1.7046506,-0.450075229
24339,1.6169372,-0.049063068
12847,1.5240787,0.78951958
22384,1.4734223,0.076663363
24122,1.4717464,0.638731832
1558,1.3991439,-0.641238146
3838,1.3373109,0.193078175
19551,1.2650533,-0.52001735
9894,1.2628069,-0.410007838
15150,1.2601435,0.805616807
837,1.1887628,2.746655516
7865,1.1680803,2.279958767
2439,1.1384125,1.011860769
21717,1.1297607,-0.665647695
3841,1.1260178,-0.683626314
23555,1.122888,-0.207900303
9172,1.1145566,-0.534713636
21873,1.1043756,-0.682332269
24253,1.1031259,-0.808844368
4730,1.0867385,0.683264953
8387,1.0815269,-0.61078777
26491,1.0759647,0.522096748
16441,1.0518963,0.519514456
21311,1.0380186,0.249936832
24715,1.0378351,-0.461109078
26300,1.026697,0.27885185
22576,1.0266703,0.334099774
18972,1.0239344,1.009795372
23940,1.0227386,-0.166663304
25712,1.0171858,-0.30155374
13348,1.0168594,-1.002903346
2897,1.0121012,0.343126369
13167,1.011756,-0.704218285
17992,1.010072,-0.002347335
13858,0.978058,-0.316682842
21670,0.97123456,1.486969663
19977,0.958738,-0.160541773
18229,0.9502109,-0.660015645
23587,0.9356307,-0.41859214
3304,0.90614545,1.107626363
4080,0.90559936,-0.623090394
3464,0.9055992,0.804124692
26931,0.9047583,0.396158624
13102,0.89674085,0.54122977
2465,0.89365077,-1.077651957
18385,0.8935246,-0.652934739
1438,0.8849284,2.052579698
10698,0.8752168,0.329777088
2075,0.8733907,-1.504565058
4362,0.8697062,1.390486501
14786,0.86964816,0.13666758
7088,0.86929244,-0.513667592
8583,0.8639169,0.772003693
20823,0.84976614,0.58637332
20619,0.8444349,-0.09762877
14223,0.83863133,0.329904187
15667,0.8364626,0.643062533
5852,0.8344947,0.267184537
20360,0.82238126,-0.749721703
68,0.8205308,-2.152295853
15383,0.81337833,-0.184330404
4889,0.80999327,1.32430439
27675,0.8054299,0.672942287
25383,0.79765666,-0.5910587
21665,0.79559433,0.761233608
11255,0.7954705,-0.399254867
5704,0.7945086,2.129919913
8392,0.791458,-0.436152707
3056,0.7847169,1.233808974
21802,0.77953863,0.053435958
1567,0.77841866,0.493449212
13116,0.77762693,0.511469901
10599,0.77687436,0.216797097
21729,0.7729967,0.248566247
4624,0.7661818,0.020472912
8799,0.7640035,0.455213071
850,0.7605064,-0.687624142
24787,0.7600128,0.316061427
19540,0.7558353,-0.521307365
6387,0.7541144,-0.011647238
7266,0.7534253,1.370662622
27544,0.75321484,0.279602758
22,0.75121915,2.226639159
26148,0.7510227,0.264516701
17690,0.74768376,0.241770505
19730,0.74698746,0.614118837
25595,0.7395052,-0.740805092
12909,0.73709345,0.811840403
4451,0.73610175,0.935860374
5237,0.733731,1.42688697
13977,0.733731,-1.975548538
13472,0.73320353,-0.624078841
11521,0.7325181,1.053823077
7988,0.72626764,0.525123939
17548,0.72603095,-0.583405187
18401,0.7237457,-0.078969399
4386,0.7232356,-1.16263241
17627,0.7206584,-0.538670746
1937,0.71735597,-0.76875389
1593,0.7143737,-1.417580841
22826,0.71290493,-0.342001161
7410,0.7126133,1.528345869
23048,0.7100463,0.300107237
3522,0.7090978,0.512876998
17762,0.70724034,-0.750560638
19975,0.69992274,0.280578845
2970,0.69824326,0.760797428
2886,0.68885803,0.265619235
7830,0.68819267,-0.068129961
25642,0.68715894,0.690838921
7112,0.68616605,0.132467713
17554,0.6835935,-0.470245249
5857,0.6830511,0.276805883
3644,0.68132216,1.205367244
22046,0.681183,-0.356147891
14129,0.68049884,0.497168719
7803,0.67895985,0.206408559
26811,0.6763222,-0.349815947
6766,0.66903687,0.012216436
13714,0.66900235,-0.163780822
18296,0.6674249,-0.20064452
22514,0.6658758,-0.973522576
24682,0.6633419,0.476132235
17365,0.6602388,-1.071841755
27313,0.6579977,0.81419466
8600,0.6578362,0.213624336
14807,0.65769637,0.072704121
1061,0.65144634,-0.525889755
6416,0.6425778,-0.232444379
18391,0.6419791,-0.030244412
9461,0.63838774,0.135806949
1748,0.6382095,0.238779333
20430,0.6374922,0.129750855
21120,0.63159084,-0.880330234
19897,0.6298611,-0.066137952
1735,0.6282741,-0.494931923
8096,0.6277957,-0.407382745
11748,0.6275694,1.159247989
9005,0.623681,-0.874906818
17598,0.62279415,0.470605124
2104,0.6222504,-0.019479086
20576,0.61991614,0.594634688
8367,0.61960125,-0.005529977
3048,0.6194477,-2.002156453
8300,0.61794883,-0.280100537
5758,0.61790967,-0.165677125
8752,0.61787856,0.535220735
4334,0.6112428,0.358601614
6312,0.6072885,0.074930174
2523,0.60728776,-0.089742222
26094,0.6063663,0.844369948
27712,0.6039312,-0.244832494
8805,0.6001108,-0.802105366
24008,0.59988946,0.63021235
3866,0.5959049,-4.402891538
23842,0.59566295,-0.161339601
6456,0.59143996,0.251275709
12529,0.5910075,1.558177859
3653,0.5907351,0.383063917
22602,0.59072363,-0.70737666
7483,0.5890704,-0.389612706
27534,0.5885725,0.117312516
19596,0.5873643,0.115129525
1673,0.5853883,0.23163585
10307,0.5853628,0.548202487
1152,0.58342373,0.080398091
14048,0.5815969,-0.450320878
12765,0.5804695,-0.030196231
16828,0.5797591,0.036387951
24618,0.57955706,0.670180491
25902,0.5790582,-0.646129906
26899,0.5756552,0.454916852
10598,0.57514787,-0.139820548
25528,0.5745659,-0.724594099
19660,0.5733171,0.274085001
12827,0.5728487,0.021803958
19899,0.5705495,0.099221916
12254,0.5700808,-0.531607909
2080,0.5684013,-0.288823575
21469,0.5682774,0.149477826
8532,0.568081,0.652223911
22877,0.5656426,0.595488807
1219,0.56511813,0.966877961
2578,0.56395316,0.213214184
26182,0.56244195,-0.236796138
7384,0.5622301,-0.40216823
5168,0.5610776,-0.133972454
19745,0.56037724,-0.245786241
4354,0.5595771,-1.690292304
4487,0.5589236,3.450468189
1350,0.55385095,-1.834833305
23847,0.55223954,0.035709013
22973,0.55218357,0.041357181
24496,0.5501776,-0.448707352
26150,0.54726183,-0.250241493
10902,0.5449877,0.465451641
7297,0.543795,-0.72012968
12212,0.54308504,-0.656137529
27740,0.5421201,-1.711894283
22096,0.5418875,-0.467172346
1803,0.5417703,-1.356325053
11823,0.5412823,-0.337324367
14414,0.53972626,-0.434610338
8872,0.5381272,-1.231716583
6183,0.53810877,1.070668936
2762,0.5356263,0.392088672
18488,0.53528535,0.671795076
19536,0.5345101,0.041715791
20209,0.53445953,-1.179232308
25196,0.5300961,-0.113592044
9735,0.5274166,-0.320800716
13801,0.52680475,0.452199386
18569,0.52680475,0.118622443
22150,0.52616954,0.020908966
2145,0.5244803,0.690094535
17976,0.5239609,-0.15904401
6147,0.5239609,-1.550566062
11700,0.52326655,1.259534687
23626,0.52261853,0.108800135
25405,0.52173746,0.047792347
16961,0.5210525,-0.888241726
11035,0.5209894,-1.118083895
6992,0.5196834,-3.719494221
15563,0.5181241,0.049843063
7072,0.5172671,0.465453139
14400,0.51631933,-0.12065022
27454,0.51495075,0.246514512
23882,0.5141667,-0.248958167
11474,0.51212776,-1.767981144
27277,0.51049626,1.016302128
8710,0.5099813,1.009371145
26186,0.5093169,-0.282548337
26575,0.508963,0.095961504
21309,0.5076069,-1.599011457
13009,0.5068487,0.410414414
24044,0.5064627,-0.050390299
23768,0.50595415,0.748660127
12793,0.50573355,1.615546658
13025,0.50498986,-1.112364493
24439,0.5048077,-0.589580284
13480,0.50241774,0.330511349
13001,0.5002303,0.097308582
2364,0.4996563,3.251072952
4927,0.49947962,0.526536335
24814,0.49927816,-0.072511426
8026,0.49896216,0.689865459
23301,0.49648467,0.038252511
20467,0.49627233,0.288791645
1587,0.49596968,1.695556513
26618,0.49521264,0.143757737
12752,0.4944915,-0.860164877
22100,0.49420923,-0.414294748
7264,0.493681,-0.59256025
23535,0.49194846,1.113502896
11618,0.48686838,0.091844107
16873,0.48621818,0.686708836
4261,0.48539853,-0.724998486
2878,0.4838958,1.314406962
26141,0.48298085,0.129488594
17102,0.48228875,-0.395032709
21514,0.48143092,0.175133037
13353,0.4811999,-0.748292267
12990,0.48080006,-0.725980717
113,0.47999927,0.582165627
22680,0.47910032,0.156016011
11772,0.4765901,-1.288810746
222,0.47632247,0.311173375
7465,0.4737471,-0.674986565
22145,0.47356763,-0.079483438
23300,0.47169098,0.403477968
10969,0.4712622,-0.841810249
24754,0.47126067,-0.115217367
18669,0.4704799,0.138744538
17341,0.4703143,0.700944723
19045,0.47003323,0.183584833
4575,0.46960694,-0.085015932
8580,0.4693862,-0.934227374
20759,0.46930918,0.609381555
24441,0.46925288,0.683731496
13818,0.46897247,-0.11628296
21686,0.4687651,-0.120508823
22879,0.46767482,-0.300159684
14733,0.46763915,-0.600152939
20194,0.46685565,-0.176667174
9951,0.46611902,-0.86375103
7553,0.4649535,1.06398927
20023,0.46490538,0.76946394
7665,0.46472448,-0.702270191
9011,0.46470425,-0.302454418
1419,0.46206397,1.6907703
7667,0.4601773,-0.527102928
4227,0.46002048,-0.448388731
12278,0.46001998,0.148802111
18560,0.45997587,-0.220312642
14877,0.45906782,0.223062784
1830,0.45826578,0.51245705
24551,0.45813212,-0.195208139
13103,0.4577452,-0.93142655
3183,0.45691323,-1.821639225
15646,0.45675483,0.229328033
22858,0.4567081,0.001902633
27161,0.45606557,-0.640602903
10829,0.45552215,0.611718148
12544,0.45488036,0.309822898
9087,0.45409152,-1.309122403
5476,0.45391476,0.076206904
18779,0.4529015,0.043152027
24402,0.45179227,0.158697264
13091,0.4516088,0.348602383
19216,0.45097208,-0.230305425
10161,0.44986475,-0.858942583
1164,0.44981614,0.633711824
16772,0.4486409,-0.687937967
17776,0.44853717,-0.100093005
532,0.44853717,-3.46796468
14,0.448347,-2.499536768
12037,0.44734067,1.337478394
25709,0.44623208,0.78719507
15287,0.44601038,0.120771678
24665,0.44599754,-0.308678878
9190,0.4452968,0.586680818
20722,0.44498593,-0.097692566
6659,0.44467852,0.501625045
5041,0.4443876,-0.099929207
15028,0.4442627,0.424742442
2827,0.44419155,2.311993473
22846,0.44329047,0.144683359
17510,0.44324228,0.289822581
18551,0.44142324,-1.454237066
9639,0.44116625,0.889408913
2991,0.44031158,1.706820002
14700,0.4394786,1.140529247
3875,0.43943053,-0.624811522
13464,0.43937206,-0.494636401
17492,0.4385769,0.596317396
1925,0.438276,-0.393371283
13043,0.43826532,-1.065211402
11596,0.4376764,0.239466746
10502,0.43738586,0.70593762
13865,0.4372426,0.686398608
15305,0.43724018,-0.00927359
10510,0.43684432,0.244748113
16273,0.43650326,-0.026156217
853,0.43627936,2.536562301
4114,0.43627936,0.559409564
3324,0.4356929,-1.607267402
16871,0.43385273,-0.769151624
24685,0.43302122,-0.272117116
3275,0.43241727,-1.106664501
765,0.43222022,2.052607266
945,0.43222022,0.56383257
26391,0.43210337,-0.266638728
9837,0.431817,-0.845833906
22121,0.4308143,0.073986957
23853,0.42966288,-0.123693542
27297,0.42950594,-0.420609826
24139,0.4292643,0.058957901
19318,0.42921466,-0.198379721
2685,0.42916727,0.89601227
21600,0.4280937,0.120870224
26946,0.42798287,0.252263794
23590,0.42782214,-0.20646756
24315,0.4257445,0.303838818
339,0.42526332,1.44837117
426,0.42364788,4.666522724
12069,0.4234328,0.332755588
25523,0.42270696,0.344790485
5231,0.42216602,-0.435019271
21866,0.42132843,0.186393978
5994,0.42110214,0.484062662
6694,0.42110085,1.344770646
2655,0.42072546,0.632515005
20079,0.4195072,0.042224083
23200,0.41901338,-0.236915426
5504,0.41876048,-0.622372085
8900,0.4186319,1.228406216
6296,0.41817507,-1.06880773
871,0.41805333,0.27091874
27233,0.41778955,-0.120063872
24615,0.41768464,0.139287635
17619,0.41725093,-0.024375471
16291,0.416728,0.978423122
25134,0.41445324,1.091953874
27174,0.41438472,-0.163213906
25394,0.4143052,-0.335658233
18156,0.4137955,-0.305964904
12289,0.4131832,0.039712889
234,0.41300792,1.146653123
26086,0.4127045,0.512487101
11085,0.41229486,1.39648695
3214,0.41221407,0.473745144
7038,0.41217142,-0.522460721
19173,0.41168952,-0.135161465
2454,0.41124383,-1.68419014
25549,0.4102747,0.160775946
25749,0.40959486,-0.751186366
18526,0.4089002,0.076937238
19244,0.40769708,0.216456414
16783,0.4076224,0.614094181
12440,0.40729865,0.885495533
1192,0.40728462,-3.602473303
24817,0.40699854,0.50455988
10674,0.40659088,-0.228122379
5601,0.40582433,0.461607929
1021,0.4052216,-1.852585687
13404,0.4051751,1.078573707
7168,0.40493548,0.899663701
18859,0.40470657,0.558880448
6938,0.40421802,0.43363679
19403,0.4041612,-0.784637576
4899,0.4041612,-0.70536391
27570,0.40376806,-1.727396039
8801,0.4030223,1.956176355
1278,0.40133098,1.186941153
2350,0.4013302,-0.312406154
13806,0.40127692,-0.487824841
6454,0.40088633,-1.01912512
18421,0.40042475,-0.308772045
4283,0.39945447,0.301411292
7945,0.39933035,0.926910013
8222,0.3989789,0.527269163
22073,0.3984602,0.718665594
23383,0.39845172,0.207051855
4620,0.39794812,-0.268813498
11310,0.3956374,-0.891947812
25953,0.39541203,0.353792982
19801,0.39537987,-0.169542838
24525,0.3952589,0.08171004
22326,0.395162,0.04512342
