,CBP,Y
2005,[0.14902544],1.9099161561348248
19,[0.09038973],1.9072344426406809
3174,[-0.00390387],1.9068905956085185
3344,[-0.02667475],1.9060006065774728
975,[0.01142859],1.8911830809121155
1912,[0.02847767],1.8903358065883544
220,[-0.06128573],1.8808700430665632
1421,[0.00359106],1.8804062667119004
2646,[0.01170683],1.8735359008950856
486,[-0.00507927],1.870770219604589
1877,[0.0137434],1.8707169830550332
1057,[0.05079031],1.8665277821075288
1452,[-0.01887989],1.8605689361798528
369,[-0.01469135],1.859386890262245
2421,[0.01577806],1.8580639235294425
3208,[-0.03920078],1.84417599128124
801,[-0.11536789],1.8366565076858503
1093,[-0.20632887],1.8342846473835677
1397,[-0.00824308],1.825079699583226
2235,[-0.0066905],1.817840317621912
1451,[-0.01905251],1.804648290807631
2312,[0.07731342],1.798215032192246
2391,[0.01881838],1.7942489490814852
728,[-0.03138208],1.788836403412846
339,[-0.04214573],1.788729463139655
135,[0.1857276],1.7827593812703375
3141,[0.05936003],1.7827060810522264
3060,[-0.11580276],1.779673821608326
3785,[0.04459953],1.7754161313704306
1070,[-0.01878786],1.7731965823148814
1908,[-0.01284695],1.7708544712101144
332,[0.00517988],1.7650562312564908
1744,[-0.02306271],1.7630904600315442
2032,[-0.03923893],1.7628433099201264
3595,[0.0148592],1.7602040279097817
2898,[0.01788902],1.7541702730261977
3589,[0.01696682],1.7525867792605307
1688,[-0.01186609],1.7444543944452098
857,[0.05519247],1.7425832317547996
1321,[-0.09812784],1.7400362514999927
3106,[-0.008533],1.7362414611313597
3808,[-0.00186539],1.7340360140413955
552,[-0.22326803],1.7324203910128215
1100,[-0.080966],1.7312999785487728
2287,[0.05171442],1.723921943520416
1269,[0.09806442],1.721141271389393
2358,[-0.01279974],1.717699659319725
1600,[0.0213511],1.716020154429279
3876,[-0.08133841],1.7132001740366545
388,[-0.03784847],1.7123093490623529
2412,[-0.03208733],1.7111164230794085
68,[-0.05703306],1.7042904756061457
1174,[0.09356546],1.6949141649955963
798,[0.00560856],1.693205188852234
926,[-0.01073074],1.688993721467161
2746,[0.05581713],1.6780053894436908
2830,[-0.00033426],1.672172274845568
831,[0.02329588],1.6713484981231677
1628,[-0.17805195],1.6680787722866826
3281,[0.01734209],1.666460181290925
2494,[0.00451207],1.6630213324016307
242,[0.00982141],1.6621378880794764
2363,[0.01718879],1.6548246241334956
1800,[-0.04361391],1.6497488690988606
2178,[-0.10186815],1.647413046054608
3659,[-0.03275847],1.6450344398666767
2083,[-0.06013918],1.6437891635493898
1384,[0.02672148],1.642947762852771
500,[-0.01403666],1.6371262169666885
2109,[-0.02160025],1.6363082970760714
976,[0.0376606],1.6348630466255452
2320,[-0.02950191],1.6335946483243995
405,[-0.0221386],1.6307425328478131
191,[0.02720547],1.629798552379656
1275,[-0.01020908],1.629266096607413
3449,[0.09588432],1.6278082776216023
3893,[0.03243065],1.6254563535115238
28,[-0.02825665],1.6239786117730743
2244,[0.11783361],1.6206887815916653
1998,[0.05118179],1.617373333972727
1860,[-0.11769295],1.6079597802947987
760,[-5.6743622e-05],1.602096954084992
531,[-0.01315165],1.5979830875126897
1944,[0.35264587],1.5954150261093931
2350,[-0.01723528],1.5939599327047087
1497,[0.07514238],1.5935392588855253
1338,[0.00362587],1.5798681990181114
487,[-1.0567069],1.5771521656621923
3862,[0.04488468],1.5749756195418976
1926,[0.25517178],1.5694262078662002
1224,[-0.04523706],1.5686207593374837
1749,[0.01576138],1.564238397545319
659,[0.01390409],1.5600564186425374
1168,[0.12054586],1.559418073999249
2574,[0.10804653],1.55594294644091
903,[-0.00818586],1.5556577298078509
1594,[0.02518654],1.5473040286972963
3908,[0.01289225],1.5467241193341603
1415,[0.02714372],1.5433351995011768
3206,[0.07327223],1.5405756296327615
233,[0.00430441],1.5378457583794345
3867,[0.17132854],1.5342076512703948
2131,[-0.04214573],1.527931910783566
981,[-0.02410746],1.522268679074656
3781,[0.1424427],1.5200443849368377
1102,[-0.0015564],1.5199506129948095
2675,[-0.00367689],1.511842111344956
1229,[0.00687885],1.51131328759076
3896,[-0.02732611],1.5091432821914776
1029,[0.10667753],1.5072910792426026
34,[0.00662851],1.5057149795983125
57,[0.090518],1.5015205675539327
1020,[0.05764389],1.4988772051476376
1640,[0.04626513],1.4908386226688846
2431,[-0.01021814],1.490278035951829
1542,[-0.00575638],1.489219168813122
1789,[-0.01184702],1.481228572712705
2041,[-0.01175117],1.4792224567960282
1187,[-0.04237175],1.477171371448831
3074,[0.06983995],1.4746080589192367
1411,[0.11209345],1.4720169035316104
2664,[0.009408],1.463431121729045
2205,[-0.04355001],1.461304758367459
2957,[0.0586431],1.4515314929598708
399,[-0.01210451],1.4395440915936746
3394,[0.02420664],1.4345368708884618
1587,[0.00555515],1.4260866640548695
554,[-0.03559208],1.4171810861228311
551,[0.01079321],1.414552102766046
2803,[-0.23209381],1.4140453294026971
2305,[0.02764034],1.4126642348464886
977,[-0.01675868],1.407719509597043
1884,[-0.07458162],1.4028612983266489
2139,[-0.04223299],1.4016676708497362
3965,[0.01377892],1.4014845803086562
4068,[0.08160734],1.3984189813405097
3817,[-0.00028992],1.3955220081399455
2281,[-0.00319052],1.3927654778823273
3633,[-0.04736614],1.3865412609081234
2573,[-0.00435305],1.3811835441389044
4095,[-0.01638412],1.3807972866874625
3999,[0.00289869],1.380230722597395
2368,[-0.00717449],1.3795533083832578
1956,[-0.02948952],1.3714536975764613
1114,[0.00321198],1.3702386534236364
4072,[0.02954912],1.3689608819865686
1498,[-0.00384045],1.3678493416636646
26,[0.04611087],1.367544803645814
2356,[0.02491808],1.3649169857620298
378,[-0.0340476],1.3604694750810342
3062,[-0.00017262],1.3595198295762123
2498,[0.00610542],1.3585871844114508
1112,[0.03276968],1.357031624836559
587,[-0.03099632],1.35630855209784
2242,[0.08773184],1.3540672730167809
32,[-0.01570082],1.3537710851343632
1450,[-0.00960255],1.353730792917
2161,[-0.3250289],1.3504527290789476
1362,[0.01231623],1.3369899117006352
111,[0.0188942],1.3354272092176516
1023,[-0.35200977],1.3295353855529584
1122,[-0.00893211],1.3289368576115892
1019,[0.09509134],1.3287895727411998
2292,[0.00922108],1.3270913327405165
401,[-0.00691557],1.321695813272175
3639,[0.04917812],1.316252841501802
1104,[0.00963211],1.3155949073725808
3339,[-0.02344322],1.312705971518634
175,[0.09176874],1.3117455223782788
2257,[0.02143121],1.3075111741452825
2683,[-0.01517868],1.3034590403219335
3273,[0.01297998],1.3032141288635055
4041,[-0.07527018],1.300546356960608
4043,[0.00110102],1.3001648045287506
1673,[0.01372385],1.298687959061434
2892,[-0.00512171],1.2951202222386575
268,[0.02235079],1.2931636423358652
1363,[-0.02862692],1.292927032265105
1720,[0.02231836],1.2900248665760583
3079,[0.01467133],1.2876316104062249
207,[0.01568937],1.2863149285540734
932,[0.00531912],1.2812330852958689
1354,[-0.13467216],1.2811821865683188
2395,[-0.02728605],1.2811164675431022
2710,[-0.04527903],1.2785648365693012
513,[-0.03480101],1.2782547106038995
808,[0.0528965],1.2753096845168463
4187,[0.00055218],1.2747351395674535
653,[-0.05260372],1.2715577298345289
1883,[0.08794832],1.2712622736786638
3852,[-0.12459564],1.270040549573905
3544,[0.17931652],1.2696851316188793
2402,[-0.02437973],1.2680298053214911
461,[-0.06576109],1.2674494043408746
3458,[-0.02010894],1.262845543674852
2787,[0.02563906],1.2611078892531402
1676,[-0.00368929],1.2575397351624735
550,[0.01966929],1.252920067915654
2888,[0.01495314],1.2463016034791206
3330,[-0.00551748],1.2448022442825826
3906,[0.07559443],1.242915290000362
1194,[0.03442955],1.2393113395174096
3007,[0.0193696],1.238863831224421
3151,[-0.00561094],1.2378104538684531
3779,[0.00035334],1.2352614405158668
581,[0.01808548],1.2341296637654553
4109,[0.12714577],1.233943311468688
3718,[-0.0268116],1.2329093870879224
3084,[-0.00600529],1.224395820381473
1393,[-0.00163269],1.2214429647080822
3898,[-0.01076841],1.2210008891813675
2747,[-0.09425282],1.219710733480912
373,[0.05032253],1.214956041480597
2620,[0.],1.2144471678574993
1307,[-0.03226995],1.1995541923313855
867,[0.01008797],1.1993446605249336
1478,[0.],1.1963325026962737
3229,[0.14647436],1.1956708168157049
1335,[-0.11254644],1.195490842167044
2524,[0.0179286],1.1942825852541048
3547,[0.02430105],1.1941936188510178
1765,[-0.00625801],1.1933930878864123
2029,[-0.05434799],1.1929418661057607
768,[0.05628872],1.1918210623019707
3952,[0.],1.1909630624022098
2838,[0.01070881],1.1909137245742938
3546,[0.01283193],1.189047483004262
1252,[-0.04801702],1.1844456613789278
3604,[0.02618408],1.1762588359153587
2398,[-0.08577776],1.1757303233129446
2560,[-0.04465723],1.1747938817619346
3998,[-0.01844406],1.1741504941573084
2985,[-0.00552964],1.172749881792336
3570,[0.02339888],1.171239383993678
555,[-0.24324942],1.1708882305128483
859,[0.00778294],1.1696265113043178
2776,[0.00906277],1.169475454036316
961,[0.00776434],1.1690499334896949
3057,[0.02549362],1.1667463881133295
1514,[-0.07147408],1.166208037509989
634,[0.00703192],1.163973676542605
210,[0.11437511],1.162498341980205
1872,[0.001791],1.1614979751955676
3761,[-0.10943747],1.1608042792029023
792,[-0.04849195],1.1564773212847024
2782,[0.04416943],1.1527339548066848
2335,[-0.11534834],1.1520644295964295
1832,[0.01807499],1.1517934376603645
