,CBP,Y
2413,[-0.03213501],2.235245609375213
3361,[0.0203414],2.211651473958616
3637,[-0.02543354],2.200074771059204
3538,[0.00893354],2.1981035925729544
1618,[-0.00311327],2.1845317558992066
1287,[0.01625252],2.181260697397541
1914,[0.00778866],2.1755715645834544
1232,[-0.00800323],2.165674561664912
3405,[0.01187134],2.163045414522972
860,[0.01287031],2.141449326212516
3529,[-0.01697302],2.1330265459021422
3375,[0.00349283],2.1254445389430874
814,[-0.01512432],2.1148501574920906
593,[0.00498915],2.11182738964954
1889,[-0.01623726],2.087755330625919
3298,[0.03762722],2.085333423960704
173,[-0.00370741],2.082609322793364
2025,[-0.12740755],2.071931078216259
3997,[0.01867294],2.070785238150238
912,[0.0077486],2.0690466422128453
303,[-0.00809526],2.04691595176385
3395,[-0.01343679],2.039626258986994
1109,[-0.00214911],2.0385072546588248
3957,[0.00216007],2.0325906220259826
1418,[0.0109129],2.028496271539712
4184,[-0.02372122],2.025354402598145
1240,[-0.01063728],2.02462431848278
269,[-7.1525574e-06],2.003869157959388
2208,[0.00290585],2.000547477727481
2051,[-0.03265715],1.9974453122359208
4090,[0.02133894],1.992951972116681
3777,[0.01640511],1.9910414061199109
2497,[0.01522827],1.9835588517975125
1165,[-0.00261927],1.980478590398654
3197,[0.05206871],1.97881983771934
1580,[-0.01795959],1.9785105770257805
2112,[-0.00805807],1.9767143087374195
3442,[-0.01033258],1.9718155528143777
2873,[0.01078939],1.952108799777102
3227,[-0.01532173],1.946022055639675
74,[0.00932312],1.945853229840486
103,[0.01757145],1.945497151137976
1607,[-0.0589757],1.944447236189133
529,[0.03329182],1.9355832715042296
1125,[-0.00743628],1.9254034150061383
3791,[0.04539585],1.9244983968759133
896,[-0.00658178],1.9204707393319216
1278,[0.00762081],1.9113625870394768
2005,[-0.01952505],1.9099161561348248
19,[-0.01374197],1.9072344426406809
3174,[-0.00603342],1.9068905956085185
3344,[-0.01034212],1.9060006065774728
975,[-0.0052371],1.8911830809121155
1912,[0.00344229],1.8903358065883544
220,[-0.00502491],1.8808700430665632
1421,[-0.00125456],1.8804062667119004
2646,[0.01185942],1.8735359008950856
486,[-0.00321579],1.870770219604589
1877,[-0.00451851],1.8707169830550332
1057,[0.07424974],1.8665277821075288
1452,[0.0090127],1.8605689361798528
369,[-0.04367304],1.859386890262245
2421,[0.05450916],1.8580639235294425
3208,[-0.00860119],1.84417599128124
801,[0.00586987],1.8366565076858503
1093,[-0.02525234],1.8342846473835677
1397,[0.0088582],1.825079699583226
2235,[0.0035305],1.817840317621912
1451,[-0.01278067],1.804648290807631
2312,[-0.01764631],1.798215032192246
2391,[-0.00054169],1.7942489490814852
728,[-0.04330921],1.788836403412846
339,[-0.0887351],1.788729463139655
135,[0.05361176],1.7827593812703375
3141,[0.00766134],1.7827060810522264
3060,[-0.01982403],1.779673821608326
3785,[0.00979424],1.7754161313704306
1070,[-0.00549459],1.7731965823148814
1908,[-0.00859451],1.7708544712101144
332,[-0.04475737],1.7650562312564908
1744,[-0.04412031],1.7630904600315442
2032,[-0.01820612],1.7628433099201264
3595,[0.02054119],1.7602040279097817
2898,[0.01625252],1.7541702730261977
