,CBP,Y
2003,[0.79230404],-0.1570685791555695
605,[0.5297961],0.0234642336630384
2064,[0.42409754],0.577779801723308
3014,[0.38613844],0.2225712857299866
991,[0.3844185],0.5920103644410937
4092,[0.32870722],0.6772262114326999
2642,[0.31913376],-0.1372566945833305
608,[0.31843042],1.0013779309772353
164,[0.30916262],-0.4774720003117056
3077,[0.28488874],0.4587011992587176
1269,[0.28488827],1.721141271389393
2990,[0.28412724],-0.9497214139327091
502,[0.24471855],-1.7958163091108488
3083,[0.2402854],0.0185606620859574
3600,[0.23212576],0.0899698249590485
1810,[0.23046446],0.158513631355914
2252,[0.2304635],-1.210483734032768
3383,[0.22927523],0.6217830344722901
3228,[0.22096157],-0.049477258480295
3291,[0.21454191],0.7451758195491471
944,[0.21411514],0.9178933260591592
2284,[0.21044111],-0.1555365383325622
2789,[0.20796871],-0.9250500649146924
1783,[0.20203161],0.5822633495275822
2837,[0.18935108],-0.6034709703193732
1569,[0.18935108],0.1325253630546505
2359,[0.18130541],0.0183232953400054
2784,[0.17660666],0.2846333296915201
1254,[0.17507887],0.8116015066855582
3421,[0.17106247],-0.6819368859106009
2540,[0.16981888],0.5780356815513925
429,[0.16797876],0.1624292588079657
2285,[0.16532946],0.4756605396507598
3847,[0.16374254],-2.888677890452892
1164,[0.16013622],-0.8511550127419487
2993,[0.15940237],0.7994305257497962
3734,[0.15920258],0.923059683617861
1624,[0.15920258],0.2369623007880304
3829,[0.15694952],-0.0440215841185973
1524,[0.1550355],0.7911880539253328
2860,[0.15347719],0.273258865189098
1786,[0.15156555],1.0528964008592914
2730,[0.14801073],0.1992563620597741
4079,[0.14537716],-1.7380330405607292
2135,[0.14151764],-0.5320107268441543
539,[0.14020443],-0.9378107141889804
763,[0.13644886],0.4025931809556126
3970,[0.13592672],1.100879147644123
2545,[0.13525057],0.9785400265575152
1378,[0.13476849],-1.153842606168426
3335,[0.13468027],0.2055576085874834
3883,[0.13459778],0.2132980974577013
675,[0.13334417],0.1022129114325305
1707,[0.13290596],-0.2848898307764779
548,[0.1317172],0.6086179725509199
883,[0.13079786],0.1235642837015366
2261,[0.12969065],0.4667415993472663
2953,[0.12761068],-1.3991521764782977
2,[0.12707186],-1.5547684030549456
4150,[0.12633419],0.1950868712133664
4086,[0.12337446],-0.0130006196843601
2175,[0.12279272],0.2851246019642369
973,[0.12274122],-2.0815338331484825
1747,[0.12099934],-0.1935821361309404
4148,[0.12030458],-0.6425481965092312
1133,[0.12025023],4.196465774886773
3176,[0.12024164],-0.2803875124124654
3488,[0.11875963],-0.4513045704634899
566,[0.11875963],0.4102241818949532
2891,[0.11847734],3.1083004665566
3528,[0.11819029],-2.3882705897160585
1336,[0.11724997],-0.6593825196670617
3536,[0.11724997],-0.5299509750133294
4007,[0.11397696],-0.1610454700937542
4107,[0.11074209],0.8662100274835859
1506,[0.11055851],-0.5923439181276207
3935,[0.11024809],0.3955606451111975
3505,[0.10981035],0.4680585128019869
1633,[0.10926676],-0.024864144181267
1855,[0.10851336],-0.4773546405281538
1132,[0.10759592],0.268052324962912
3683,[0.1067605],0.4288260112651189
3596,[0.10598373],-0.2463547031987658
650,[0.10554457],-0.3817004512151962
2482,[0.1053381],0.5339296791087135
2148,[0.10518408],-1.0335168229855365
2061,[0.10436869],-0.849959200711173
1561,[0.10385704],-0.6176866204704493
1262,[0.10320711],0.4028896326945512
1488,[0.10281897],0.5565965721278803
251,[0.10270977],0.6760541955982291
2555,[0.10231352],-2.3979670418394274
3913,[0.10197878],0.4174573151054169
840,[0.10097075],-0.4334575437178455
1153,[0.09886026],-0.3541107817717203
2666,[0.0986371],0.1245129025609873
2034,[0.09860849],0.2454673492795558
3403,[0.09784842],0.5407015684725132
2165,[0.09769392],0.3991572701529048
3691,[0.09741211],0.59001184787417
1857,[0.09664249],0.1609762656016173
3639,[0.09660244],1.316252841501802
2360,[0.09624958],-0.6452306583517282
3771,[0.09606361],0.7006114937102077
2266,[0.09606361],-1.4436927560938906
565,[0.09415388],0.5049516151130953
3408,[0.09398508],3.680280762543824
3875,[0.09337568],-0.0024735574629511
615,[0.09319305],0.2534810624849049
1057,[0.09288883],1.8665277821075288
3013,[0.09239388],0.0524555987843224
3425,[0.09209728],2.301274959007764
4182,[0.09135485],0.7754207660533257
426,[0.09117985],0.7016536910885365
2187,[0.09096003],-0.7265509931413767
2463,[0.09045506],-0.7434771322170881
2543,[0.08956957],0.3307298166752607
3808,[0.08928919],1.7340360140413955
844,[0.08893204],-0.0642332091081576
2069,[0.08879042],-0.3249328923468696
710,[0.08829212],0.3521369888622825
985,[0.08804417],0.2538908199721182
51,[0.08746052],-0.1319557956474258
219,[0.08569479],-0.2862160126011578
101,[0.08565998],-2.343745654716768
4199,[0.08535814],0.5298839890669587
3901,[0.08506775],-0.8147991652369205
2189,[0.08506775],0.7765030217318201
1849,[0.08386755],-0.0556599014162479
325,[0.08357334],-0.3295692992105395
4196,[0.08354616],1.0630545206738475
3116,[0.08347178],-0.5484642301789812
4149,[0.08326292],-0.7114607675126585
1207,[0.08325911],-0.9607466054401824
3362,[0.08315992],-0.4863290716405765
1543,[0.08282757],0.1934049655847922
3351,[0.08277464],-0.3034693766746894
1395,[0.08083916],-0.3745542466762501
707,[0.07982302],-0.2823965093783099
4036,[0.07913828],-0.367970979140739
274,[0.07901525],2.828276954443961
3984,[0.0790062],-0.0685869401438402
1013,[0.07851601],0.4107831074290407
2925,[0.07808876],-0.4671609858644851
1509,[0.07780552],0.1967170725284153
1204,[0.07766819],0.6709031575373674
1361,[0.07756042],-0.1720768726310662
1442,[0.07754707],0.3618392933500381
1897,[0.07731295],-2.2214504074878825
3012,[0.07702065],0.215512667661758
1975,[0.07659578],0.8209501846219665
2634,[0.07638836],0.3244521695803012
3707,[0.0757966],-0.3410791390765825
326,[0.07556105],0.5326176414882812
1235,[0.07490587],-0.9573886567206896
1909,[0.07443285],-0.247455262560634
1733,[0.07363033],-0.8170256348922089
1171,[0.07283545],-0.0457123162220202
